emp_no,first_name,last_name,from_date,to_date,titles,dept_name
10001,Georgi,Facello,1986-06-26,9999-01-01,Senior Engineer,Development
10004,Chirstian,Koblick,1986-12-01,1995-12-01,Engineer,Production
10009,Sumant,Peac,1985-02-18,1990-02-18,Assistant Engineer,Quality Management
10018,Kazuhide,Peha,1987-04-03,1995-04-03,Engineer,Development
10035,Alain,Chappelet,1988-09-05,1996-09-05,Engineer,Production
10053,Sanjiv,Zschoche,1994-11-13,9999-01-01,Senior Staff,Sales
10058,Berhard,McFarlin,1988-04-25,9999-01-01,Senior Staff,Marketing
10066,Kwee,Schusler,1986-02-26,1992-02-26,Assistant Engineer,Development
10067,Claudi,Stavenow,1987-03-04,1996-03-03,Engineer,Quality Management
10070,Reuven,Garigliano,1985-10-14,9999-01-01,Technique Leader,Research
10072,Hironoby,Sidou,1989-05-21,1995-05-21,Engineer,Development
10076,Erez,Ritzmann,1996-07-15,9999-01-01,Senior Engineer,Development
10088,Jungsoon,Syrzycki,1993-09-02,9999-01-01,Senior Staff,Customer Service
10100,Hironobu,Haraldson,1994-09-21,9999-01-01,Senior Staff,Human Resources
10103,Akemi,Birch,1998-01-12,9999-01-01,Engineer,Development
10126,Kayoko,Valtorta,1991-09-08,9999-01-01,Senior Staff,Customer Service
10129,Armond,Peir,1996-01-16,9999-01-01,Technique Leader,Development
10130,Nishit,Casperson,1988-06-21,9999-01-01,Senior Engineer,Production
10134,Diederik,Siprelle,1987-12-12,1994-12-12,Engineer,Development
10138,Perry,Shimshoni,1992-03-03,2001-03-03,Engineer,Quality Management
10150,Zhenbing,Perng,1986-11-16,1995-11-16,Engineer,Development
10153,Heekeun,Majewski,2000-01-08,9999-01-01,Assistant Engineer,Development
10157,Nigel,Aloisi,1997-12-10,9999-01-01,Senior Engineer,Development
10198,Pranav,Furedi,1985-08-31,1993-08-31,Engineer,Development
10215,Xiaobin,Duclos,1991-11-23,9999-01-01,Senior Staff,Sales
10224,Leon,Trogemann,1988-01-09,1996-01-09,Engineer,Production
10233,Lein,Vendrig,2000-04-28,9999-01-01,Senior Staff,Human Resources
10258,Basil,Ishibashi,1985-05-17,1991-05-17,Assistant Engineer,Development
10272,Yishai,Cannane,1997-10-23,9999-01-01,Staff,Finance
10282,Hercules,Benzmuller,1996-05-02,2001-05-02,Assistant Engineer,Production
10283,Kauko,Birjandi,1988-05-25,1995-05-26,Engineer,Development
10326,Masali,Czap,1998-09-02,9999-01-01,Staff,Research
10340,Djelloul,Laventhal,1993-03-30,9999-01-01,Senior Staff,Marketing
10347,Pradeep,Kaminger,1998-02-20,9999-01-01,Staff,Research
10355,Satyanarayana,Cochrane,1996-01-26,9999-01-01,Staff,Sales
10356,Vasilis,Standera,1995-06-26,9999-01-01,Senior Staff,Research
10364,Nakhoon,Dengi,1985-11-14,9999-01-01,Senior Engineer,Production
10372,Anneli,Frijda,1985-07-30,9999-01-01,Technique Leader,Production
10387,Parto,Wrigley,1999-01-07,9999-01-01,Senior Staff,Customer Service
10396,Sibyl,Rahier,1986-01-11,9999-01-01,Senior Engineer,Development
10402,Volkmar,Ebeling,1987-01-02,9999-01-01,Technique Leader,Quality Management
10404,Prodip,Rosti,1988-08-28,1996-08-28,Engineer,Development
10426,Arunas,Luce,1985-07-06,9999-01-01,Technique Leader,Development
10429,Martien,Improta,1988-09-23,9999-01-01,Senior Engineer,Development
10432,Hisao,Tiemann,1996-08-12,9999-01-01,Senior Staff,Customer Service
10451,Bodh,Ranta,1988-03-12,1993-03-12,Assistant Engineer,Production
10453,Tsvetan,Matzel,1993-04-02,9999-01-01,Senior Staff,Customer Service
10463,Ung,Zaiane,1994-02-17,9999-01-01,Staff,Sales
10486,Amstein,Kossowski,1987-10-08,1996-10-07,Engineer,Quality Management
10494,Yakkov,Servieres,1991-12-18,2000-12-17,Engineer,Production
10504,Xiong,Varker,1999-10-19,9999-01-01,Staff,Sales
10512,Udi,Gihr,1998-11-28,9999-01-01,Senior Staff,Human Resources
10522,Marke,Cesareni,1995-12-12,9999-01-01,Senior Staff,Human Resources
10548,Ramalingam,Gunderson,1993-07-04,9999-01-01,Senior Staff,Sales
10564,Jianhao,Thisen,1995-11-23,2000-11-22,Engineer,Production
10623,Aleksander,Danlos,1992-01-15,1999-01-15,Engineer,Research
10628,Krisda,Krogh,1987-03-14,1994-03-14,Assistant Engineer,Development
10631,Inderjeet,Chaudhuri,1994-10-18,9999-01-01,Engineer,Development
10642,Hirochika,Narlikar,1998-10-05,9999-01-01,Engineer,Development
10653,Otmar,Feinberg,1987-04-30,9999-01-01,Senior Engineer,Development
10671,Parviz,Rebaine,2001-09-13,9999-01-01,Senior Staff,Human Resources
10676,Valeri,Danley,1999-09-04,9999-01-01,Engineer,Development
10693,Berhard,Daescu,1991-01-08,9999-01-01,Senior Staff,Customer Service
10702,Bader,Szemeredi,1991-01-14,9999-01-01,Senior Engineer,Development
10718,Adib,Rullman,1988-07-21,1997-07-21,Engineer,Development
10726,Zita,Minakawa,1992-02-25,2001-02-24,Engineer,Development
10734,Sachar,Erdi,1995-12-19,9999-01-01,Engineer,Production
10745,Poorav,Ranze,1988-01-23,1997-01-22,Engineer,Production
